Befragtennummer;Erhebungsmonat;Erhebungswoche;Bundesland;Erhebungsgebiet;Einwohner;Polit_interesse
20016;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
20017;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
20018;Januar;2. Woche, Januar 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
20019;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;KA;Sehr stark
20020;Januar;2. Woche, Januar 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
20021;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
20022;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;etwas
20023;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;kaum
20024;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
20025;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;Sehr stark
20026;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
20027;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;Sehr stark
20028;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
20029;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
20030;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
20031;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;Sehr stark
20032;Januar;2. Woche, Januar 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
20033;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;Sehr stark
20034;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;stark
20035;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;kaum
20036;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
20037;Januar;2. Woche, Januar 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;Sehr stark
20038;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
20039;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;etwas
20040;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;Sehr stark
20041;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;Sehr stark
20042;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
20043;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
20044;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
20045;Januar;2. Woche, Januar 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;KA
20046;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;Sehr stark
20047;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;stark
20048;Januar;2. Woche, Januar 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
20049;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
20050;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
20051;Januar;2. Woche, Januar 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
20052;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
20053;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
20054;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;etwas
20055;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
20056;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
20057;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
20058;Januar;2. Woche, Januar 2021;Bremen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
20059;Januar;2. Woche, Januar 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
20060;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;stark
20061;Januar;2. Woche, Januar 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;etwas
20062;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
20063;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
20064;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
20065;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
20066;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
20067;Januar;2. Woche, Januar 2021;Saarland;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
20068;Januar;2. Woche, Januar 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;etwas
20069;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
20070;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
20071;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;etwas
20072;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
20073;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;Sehr stark
20074;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;Sehr stark
20075;Januar;2. Woche, Januar 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
20076;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;Sehr stark
20077;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
20078;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
20079;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
20080;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;etwas
20081;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;Sehr stark
20082;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
20083;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
20084;Januar;2. Woche, Januar 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;etwas
20085;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;KA;etwas
20086;Januar;2. Woche, Januar 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
20087;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
20088;Januar;2. Woche, Januar 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
20089;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;kaum
20090;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;Sehr stark
20091;Januar;2. Woche, Januar 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
20092;Januar;2. Woche, Januar 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
20093;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
20094;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
20095;Januar;2. Woche, Januar 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
20096;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;kaum
20097;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;etwas
20098;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;KA;stark
20099;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
20100;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
20101;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
20102;Januar;2. Woche, Januar 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
20103;Januar;2. Woche, Januar 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
20104;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
20105;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
20106;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;etwas
20107;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
20108;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;etwas
20109;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
20110;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;etwas
20111;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;etwas
20112;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
20113;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
20114;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
20115;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
20116;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
20117;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
20118;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
20119;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
20120;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
20121;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;stark
20122;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;kaum
20123;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;etwas
20124;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
20125;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
20126;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
20127;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
20128;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
20129;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;KA;etwas
20130;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;Sehr stark
20131;Januar;2. Woche, Januar 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;Sehr stark
20132;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;kaum
20133;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
20134;Januar;2. Woche, Januar 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
20135;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
20136;Januar;2. Woche, Januar 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;kaum
20137;Januar;2. Woche, Januar 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
20138;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;stark
20139;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
20140;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
20141;Januar;2. Woche, Januar 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
20142;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
20143;Januar;2. Woche, Januar 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
20144;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;gar nicht
20145;Januar;2. Woche, Januar 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
20146;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
20147;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
20148;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
20149;Januar;2. Woche, Januar 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
20150;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
20151;Januar;2. Woche, Januar 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;kaum
20152;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
20153;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
20154;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
20155;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
20156;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
20157;Januar;2. Woche, Januar 2021;Saarland;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
20158;Januar;2. Woche, Januar 2021;Hessen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
20159;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;gar nicht
20160;Januar;2. Woche, Januar 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
20161;Januar;2. Woche, Januar 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;etwas
20162;Januar;2. Woche, Januar 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
20163;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;Sehr stark
20164;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;KA;etwas
20165;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
20166;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;Sehr stark
20167;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
20168;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
20169;Januar;2. Woche, Januar 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;Sehr stark
20170;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
20171;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
20172;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;Sehr stark
20173;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;kaum
20174;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
20175;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
20176;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
20177;Januar;2. Woche, Januar 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
20178;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
20179;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;Sehr stark
20180;Januar;2. Woche, Januar 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
20181;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
20182;Januar;2. Woche, Januar 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;Sehr stark
20183;Januar;2. Woche, Januar 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;Sehr stark
20184;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;etwas
20185;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;etwas
20186;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;KA;stark
20187;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;KA;etwas
20188;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;Sehr stark
20189;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
20190;Januar;2. Woche, Januar 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
20191;Januar;2. Woche, Januar 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;stark
20192;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;etwas
20193;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
20194;Januar;2. Woche, Januar 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
20195;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;stark
20196;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
20197;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;Sehr stark
20198;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
20199;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
20200;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
20201;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
20202;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
20203;Januar;2. Woche, Januar 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
20204;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
20205;Januar;2. Woche, Januar 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
20206;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
20207;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;stark
20208;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;Sehr stark
20209;Januar;2. Woche, Januar 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;stark
20210;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
20211;Januar;2. Woche, Januar 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
20212;Januar;2. Woche, Januar 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;KA;etwas
20213;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
20214;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;etwas
20215;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
20216;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;stark
20217;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
20218;Januar;2. Woche, Januar 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
